Title,Original Title,Overview,Release Date,Genres,Runtime,Rating,Vote Count,Tagline,Poster Link,Backdrop Link,Budget,Revenue,Language,Production Companies,Cast,Director
The Art of Racing in the Rain,The Art of Racing in the Rain,"A family dog – with a near-human soul and a philosopher's mind – evaluates his life through the lessons learned by his human owner, a race-car driver.",2019-08-08,"Drama, Romance",109,8.199,1519,Meet the dog who will show the world how to be human.,https://image.tmdb.org/t/p/w500/mi5VN4ww0JZgRFJIaPxxTGKjUg7.jpg,https://image.tmdb.org/t/p/w500/96sS0woEzf0zFSWjHVblOhsBfGd.jpg,18000000,33800000,en,"Original Film, Shifting Gears Productions, Fox 2000 Pictures, Starbucks Entertainment","Kevin Costner, Milo Ventimiglia, Jackie Minns, Marcus Hondro, Ian Lake",Simon Curtis
Shutter Island,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",2010-02-14,"Drama, Thriller, Mystery",138,8.201,24395,Some places never let you go.,https://image.tmdb.org/t/p/w500/nrmXQ0zcZUL8jFLrakWc90IR8z9.jpg,https://image.tmdb.org/t/p/w500/rbZvGN1A1QyZuoKzhCw8QPmf2q0.jpg,80000000,294804195,en,"Paramount Pictures, Phoenix Pictures, Sikelia Productions, Appian Way","Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow, Michelle Williams",Martin Scorsese
Ultraman: Rising,Ultraman: Rising,"A star athlete reluctantly returns home to take over his father's duties as Ultraman, shielding Tokyo from giant monsters as he becomes a legendary hero.",2024-06-14,"Animation, Science Fiction, Family, Action",117,8.2,316,Big hero. Bigger responsibility.,https://image.tmdb.org/t/p/w500/cYaThZqtLuBThBcrV6YRLLwL8F5.jpg,https://image.tmdb.org/t/p/w500/wdUnHg8bOmTkHzkvxSY9sCeqJ6q.jpg,0,0,en,"Tsuburaya Productions, Netflix","Christopher Sean, Gedde Watanabe, Tamlyn Tomita, Keone Young, Julia Harriman",Shannon Tindle
My Mom Is a Character 3,Minha Mãe é uma Peça 3: O Filme,Dona Hermínia will have to rediscover and reinvent herself because her children are forming new families. This supermom will have to deal with a new life scenario: Marcelina is pregnant and Juliano is getting married.,2019-12-26,Comedy,111,8.199,478,,https://image.tmdb.org/t/p/w500/zw77BFPGJ73Lig8GwRzYj1XHq53.jpg,https://image.tmdb.org/t/p/w500/19vTfircuojU00I6xtRdy3DrF1e.jpg,2000000,39273021,pt,"Migdal Filmes, Globo Filmes, Universal Pictures International, Paramount Pictures Brasil, Downtown Filmes, Paris Filmes, Telecine","Paulo Gustavo, Mariana Xavier, Rodrigo Pandolfo, Herson Capri, Samantha Schmütz",Susana Garcia
The Apartment,The Apartment,"Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he's left with a major problem to solve.",1960-06-21,"Comedy, Drama, Romance",125,8.198,2395,"Movie-wise, there has never been anything like it - laugh-wise, love-wise, or otherwise-wise!",https://image.tmdb.org/t/p/w500/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg,https://image.tmdb.org/t/p/w500/6FQmuTDPd7YxGKYjiesh54VeJ69.jpg,3000000,25000000,en,"The Mirisch Company, United Artists","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston, Jack Kruschen",Billy Wilder
Michael Jackson's Thriller,Michael Jackson's Thriller,"A night at the movies turns into a nightmare when Michael and his date are attacked by a horde of bloody-thirsty zombies. On top of the success of the Thriller album and Michael Jackson's electrifying performance at Motown 25, the short film/music video for ""Thriller"" established Jackson as an international superstar and global phenomenon. Thriller is credited for transforming music videos into a serious art form, breaking down racial barriers in popular entertainment, popularizing the making-of documentary format and creating a home video market. The success transformed Jackson into a dominant force in global pop culture. In 2009, it became the first music video inducted into the United States National Film Registry by the Library of Congress as ""culturally, historically or aesthetically significant"". ""Thriller"" was also Jackson's seventh and final U.S. Hot 100 Top 10 hit from the Thriller album. It was the first album in history to have seven U.S. Top 10s.",1983-11-14,"Horror, Music, Mystery",14,8.2,697,,https://image.tmdb.org/t/p/w500/dYHGoPMkZMVuBA4EydmDQMo1EEv.jpg,https://image.tmdb.org/t/p/w500/aVefEnQsfNPUrgsuMszTDt165P0.jpg,1100000,0,en,Optimum Productions,"Michael Jackson, Ola Ray, Vincent Price, Cynthia Garris, Mick Garris",John Landis
Hacksaw Ridge,Hacksaw Ridge,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",2016-10-07,"Drama, History, War",139,8.193,14019,One of the greatest heroes in American history never fired a bullet.,https://image.tmdb.org/t/p/w500/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg,https://image.tmdb.org/t/p/w500/rshlQ6LfPRSWFhpGL4s5ZkIPR51.jpg,40000000,175302354,en,"Summit Entertainment, Pandemonium, Cross Creek Pictures, Permut Presentations, Vendian Entertainment, Argent Pictures, IM Global, AI Film, Bliss Media, Kylin Pictures, Cosmos Filmed Entertainment, Icon Productions","Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey",Mel Gibson
Doctor Who: The Day of the Doctor,Doctor Who: The Day of the Doctor,"In 2013, something terrible is awakening in London's National Gallery; in 1562, a murderous plot is afoot in Elizabethan England; and somewhere in space an ancient battle reaches its devastating conclusion. All of reality is at stake as the Doctor's own dangerous past comes back to haunt him.",2013-11-23,"Science Fiction, Adventure",77,8.2,750,,https://image.tmdb.org/t/p/w500/yxLra5R61s5J4M5L3mqOY42K5md.jpg,https://image.tmdb.org/t/p/w500/tbF57JNof8j3X14GhZtqafkrziU.jpg,0,10000000,en,BBC Cymru Wales,"Matt Smith, David Tennant, John Hurt, Jenna Coleman, Billie Piper",Nick Hurran
Maquia: When the Promised Flower Blooms,さよならの朝に約束の花をかざろう,"Maquia is a member of a special race called the Iorph who can live for hundreds of years. However, Maquia has always felt lonely despite being surrounded by her people, as she was orphaned from a young age. She daydreams about the outside world, but dares not travel from her home due to the warnings of the clan's chief.  One day the kingdom of Mezarte invades her homeland. They already have what is left of the giant dragons, the Renato, under their control, and now their king wishes to add the immortality to his bloodline.  They ravage the Iorph homeland and kill most of its inhabitants. Caught in the midst of the attack, Maquia is carried off by one of the Renato. It soon dies, and she is left deserted in a forest, now truly alone save for the cries of a single baby off in the distance. Maquia finds the baby in a destroyed village and decides to raise him as her own, naming him Ariel. Although she knows nothing of the human world, how to raise a child that ages much faster than her.",2018-02-24,"Animation, Fantasy, Drama, Adventure",115,8.188,643,,https://image.tmdb.org/t/p/w500/dtYkdgDAAMrAPm1cCW89FcqNSRq.jpg,https://image.tmdb.org/t/p/w500/yjfwNSDljAKsuHwwE34xjlY3tQj.jpg,0,4345395,ja,"P.A.WORKS, Bandai Visual, Hakuhodo DY Music & Pictures, Lantis, Cygames, Rakuonsha","Manaka Iwami, Miyu Irino, Yuuki Sakurai, Ai Kayano, Yuki Kaji",Mari Okada
A Clockwork Orange,A Clockwork Orange,"In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that'll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?",1971-12-19,"Science Fiction, Crime",137,8.187,13108,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",https://image.tmdb.org/t/p/w500/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,https://image.tmdb.org/t/p/w500/nLFxvLokHe3bQmrmAfljIfax2jQ.jpg,2200000,27033812,en,"Warner Bros. Pictures, Hawk Films, Stanley Kubrick Productions, Polaris Productions Limited","Malcolm McDowell, Patrick Magee, Carl Duering, Michael Bates, Warren Clarke",Stanley Kubrick
The Seventh Seal,Det sjunde inseglet,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",1957-02-16,"Fantasy, Drama",96,8.185,3070,The story of a challenge to death.,https://image.tmdb.org/t/p/w500/wcZ21zrOsy0b52AfAF50XpTiv75.jpg,https://image.tmdb.org/t/p/w500/d9hWzWeRYg7sIy3PeQgenL32qoV.jpg,150000,311212,sv,SF Studios,"Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow, Bibi Andersson",Ingmar Bergman
Django Unchained,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012-12-25,"Drama, Western",165,8.183,26636,"Life, liberty, and the pursuit of vengeance.",https://image.tmdb.org/t/p/w500/bV0rWoiRo7pHUTQkh6Oio6irlXO.jpg,https://image.tmdb.org/t/p/w500/2oZklIzUbvZXXzIFzv7Hi68d6xf.jpg,100000000,425368238,en,"The Weinstein Company, Columbia Pictures","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson",Quentin Tarantino
Top Gun: Maverick,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",2022-05-21,"Action, Drama",131,8.181,9711,Feel the need... The need for speed.,https://image.tmdb.org/t/p/w500/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,https://image.tmdb.org/t/p/w500/AaV1YIdWKnjAIAOe8UUKBFm327v.jpg,170000000,1488732821,en,"Skydance Media, Don Simpson/Jerry Bruckheimer Films, Paramount Pictures","Tom Cruise, Miles Teller, Monica Barbaro, Lewis Pullman, Jay Ellis",Joseph Kosinski
Bicycle Thieves,Ladri di biciclette,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.",1948-07-21,Drama,89,8.182,2466,The Prize Picture They Want to Censor!,https://image.tmdb.org/t/p/w500/abmxGiCV04NQj4jngbSQTGLgiC1.jpg,https://image.tmdb.org/t/p/w500/drA8fgR8xhqRNXATInYXL831OvE.jpg,133000,450159,it,Produzioni De Sica,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda, Vittorio Antonucci",Vittorio De Sica
20th Century Girl,20세기 소녀,"In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own.",2022-10-06,"Romance, Drama",119,8.2,721,A first love pov story.,https://image.tmdb.org/t/p/w500/j73DItU1L0N7nmGA9S6sjwxKzPM.jpg,https://image.tmdb.org/t/p/w500/3NLczZ7sSIKoe3jLlH9yOfdqUcF.jpg,119,0,ko,"Yong Film, CJ ENM Studios","Kim You-jung, Byeon Woo-seok, Park Jung-woo, Roh Yoon-seo, Kim Sung-kyung",Bang Woo-ri
Tokyo Story,東京物語,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",1953-11-03,Drama,137,8.179,1098,"As long as life goes on, relationships between parents and children will bring boundless joy and endless grief.",https://image.tmdb.org/t/p/w500/g2YbTYKpY7N2yDSk7BfXZ18I5QV.jpg,https://image.tmdb.org/t/p/w500/jLq0ol1f0ZKXni9R9GsPBcyPrNN.jpg,0,0,ja,Shochiku,"Chishū Ryū, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sō Yamamura",Yasujirō Ozu
Memento,Memento,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",2000-10-11,"Mystery, Thriller",113,8.177,15201,Some memories are best forgotten.,https://image.tmdb.org/t/p/w500/fKTPH2WvH8nHTXeBYBVhawtRqtR.jpg,https://image.tmdb.org/t/p/w500/7Wev9JMo6R5XAfz2KDvXb7oPMmy.jpg,9000000,40047236,en,"Newmarket Films, Summit Entertainment, Team Todd, I Remember Productions","Guy Pearce, Carrie-Anne Moss, Joe Pantoliano, Mark Boone Junior, Russ Fega",Christopher Nolan
The Usual Suspects,The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,"Drama, Crime, Thriller",106,8.176,10625,Five criminals. One line up. No coincidence.,https://image.tmdb.org/t/p/w500/rWbsxdwF9qQzpTPCLmDfVnVqTK1.jpg,https://image.tmdb.org/t/p/w500/7S7PE3vK9Eh5uzCYBDGk5qTJeYW.jpg,6000000,23300000,en,"Bad Hat Harry Productions, Blue Parrot Productions","Stephen Baldwin, Gabriel Byrne, Benicio del Toro, Kevin Pollak, Kevin Spacey",Bryan Singer
Investigation of a Citizen Above Suspicion,Indagine su un cittadino al di sopra di ogni sospetto,"Rome, Italy. After committing a heinous crime, a senior police officer exposes evidence incriminating him because his moral commitment prevents him from circumventing the law and the social order it protects.",1970-10-16,"Drama, Thriller",111,8.2,808,,https://image.tmdb.org/t/p/w500/vPTZwlq1IC4o1DCsEZEl2uGljzm.jpg,https://image.tmdb.org/t/p/w500/7SUT9mYb7SD88Gz7rFeLbjC2YeG.jpg,0,0,it,Vera Film,"Gian Maria Volonté, Florinda Bolkan, Gianni Santuccio, Orazio Orlando, Sergio Tramonti",Elio Petri
Innocent Voices,Voces inocentes,"A young boy, attempting to have a normal childhood in 1980s El Salvador, is caught up in a dramatic fight for his life when he desperately tries to avoid the war that is raging all around him.",2005-01-28,"Drama, War",120,8.2,496,,https://image.tmdb.org/t/p/w500/hvwB4LdMCLzqXsk5ZjR77vzPkGk.jpg,https://image.tmdb.org/t/p/w500/oaUWMPGxpb4OsVCrppmlhQA2bwb.jpg,0,837000,es,"Santo Domingo Films, Altavista Films, MUVI Films, Lawrence Bender Productions, Organización Santo Domingo, A Band Apart, Lions Gate Films","Carlos Padilla, Xuna Primus, Leonor Varela, José María Yázpik, Gustavo Muñoz",Luis Mandoki
Persona,Persona,"A young nurse, Alma, is put in charge of Elisabeth Vogler: an actress who is seemingly healthy in all respects, but will not talk. As they spend time together, Alma speaks to Elisabeth constantly, never receiving any answer.",1966-10-18,Drama,83,8.164,2219,Ingmar Bergman's most personal and original film,https://image.tmdb.org/t/p/w500/cl0HEZT8UfzLqaMrYTvGNHOfPYj.jpg,https://image.tmdb.org/t/p/w500/sj2aZDetPE8RoOCAm5QJitCNfLr.jpg,0,0,sv,SF Studios,"Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand, Jörgen Lindström",Ingmar Bergman
The Kid,The Kid,A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.,1921-01-21,"Comedy, Drama",68,8.163,2148,6 reels of Joy.,https://image.tmdb.org/t/p/w500/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,https://image.tmdb.org/t/p/w500/mAhCW7QbpL5kwvCWGsfyY3ILoW6.jpg,250000,2500000,en,Charles Chaplin Productions,"Charlie Chaplin, Jackie Coogan, Carl Miller, Edna Purviance, Albert Austin",Charlie Chaplin
Alien,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",1979-05-25,"Horror, Science Fiction",117,8.162,15172,"In space, no one can hear you scream.",https://image.tmdb.org/t/p/w500/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg,https://image.tmdb.org/t/p/w500/hdHIjZxq3SWFqpAz4NFhdbud0iz.jpg,11000000,104931801,en,"20th Century Fox, Brandywine Productions","Tom Skerritt, Sigourney Weaver, Veronica Cartwright, Harry Dean Stanton, John Hurt",Ridley Scott
Hamilton,Hamilton,"Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.",2020-07-03,"History, Drama",160,8.158,1473,A story in American history.,https://image.tmdb.org/t/p/w500/h1B7tW0t399VDjAcWJh8m87469b.jpg,https://image.tmdb.org/t/p/w500/uWVkEo9PWHu9algZsiLPi6sRU64.jpg,0,0,en,"RadicalMedia, 5000 Broadway Productions, Nevis Productions, Old 320 Sycamore","Lin-Manuel Miranda, Leslie Odom Jr., Renée Elise Goldsberry, Phillipa Soo, Daveed Diggs",Thomas Kail
Scarface,Scarface,"After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",1983-12-09,"Action, Crime, Drama",169,8.16,12135,He loved the American Dream. With a vengeance.,https://image.tmdb.org/t/p/w500/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg,https://image.tmdb.org/t/p/w500/1qM2BYNE11Viby8ImC9LC00DgDr.jpg,25000000,66023329,en,"Universal Pictures, Martin Bregman Productions","Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia",Brian De Palma
The Departed,The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006-10-04,"Drama, Thriller, Crime",151,8.159,15220,"Cops or criminals. When you’re facing a loaded gun, what’s the difference?",https://image.tmdb.org/t/p/w500/nT97ifVT2J1yMQmeq20Qblg61T.jpg,https://image.tmdb.org/t/p/w500/6WRrGYalXXveItfpnipYdayFkQB.jpg,90000000,291465000,en,"Warner Bros. Pictures, Plan B Entertainment, Initial Entertainment Group, Vertigo Entertainment, Media Asia Films","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Martin Sheen",Martin Scorsese
Vertigo,Vertigo,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her.",1958-05-28,"Mystery, Romance, Thriller",128,8.159,5869,Alfred Hitchcock engulfs you in a whirlpool of terror and tension!,https://image.tmdb.org/t/p/w500/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg,https://image.tmdb.org/t/p/w500/77aHwg1SCy89rfvQtiruPU58qEV.jpg,2479000,7808900,en,"Paramount Pictures, Alfred J. Hitchcock Productions","James Stewart, Kim Novak, Barbara Bel Geddes, Tom Helmore, Henry Jones",Alfred Hitchcock
Black Clover: Sword of the Wizard King,映画 ブラッククローバー 魔法帝の剣,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",2023-06-16,"Animation, Fantasy, Action, Adventure",113,8.158,303,When the legend revives... The kingdom will fall.,https://image.tmdb.org/t/p/w500/9YEGawvjaRgnyW6QVcUhFJPFDco.jpg,https://image.tmdb.org/t/p/w500/rogeBJK44LtWynOqzMFmEF30T80.jpg,0,0,ja,"Pierrot, Bandai Namco Entertainment, MBS, TV Tokyo, avex pictures, Shueisha","Gakuto Kajiwara, Nobunaga Shimazaki, Junichi Suwabe, Kana Yuuki, Toshihiko Seki",Ayataka Tanemura
My Hero Academia: Heroes Rising,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,"Class 1-A visits Nabu Island where they finally get to do some real hero work. The place is so peaceful that it's more like a vacation... until they're attacked by a villain with an unfathomable Quirk! His power is eerily familiar, and it looks like Shigaraki had a hand in the plan. But with All Might retired and citizens' lives on the line, there's no time for questions. Deku and his friends are the next generation of heroes, and they're the island's only hope.",2019-12-20,"Animation, Action, Fantasy, Adventure",104,8.158,1185,"When There's Nothing to be gained, Rising to the challenge at those times, is surely the mark... OF A TRUE HERO!",https://image.tmdb.org/t/p/w500/kpWsIkfXrnQ1pmR79qAHHq7DPxc.jpg,https://image.tmdb.org/t/p/w500/9guoVF7zayiiUq5ulKQpt375VIy.jpg,0,30017163,ja,"BONES, dentsu, movic, Nippon Television Network Corporation, Shueisha, Sony Music Entertainment, Yomiuri Telecasting Corporation, TOHO","Daiki Yamashita, Nobuhiko Okamoto, Yoshio Inoue, Mio Imada, Yuka Terasaki",Kenji Nagasaki
Good Will Hunting,Good Will Hunting,"Headstrong yet aimless, Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he secretly solves highly difficult graduate-level math problems, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he gets court-ordered therapy. Eventually, therapist Dr. Sean Maguire helps Will confront the demons that are holding him back.",1997-12-05,Drama,127,8.158,12709,"Some people can never believe in themselves, until someone believes in them.",https://image.tmdb.org/t/p/w500/z2FnLKpFi1HPO7BEJxdkv6hpJSU.jpg,https://image.tmdb.org/t/p/w500/bpV8wn48s82au37QyUJ51S7X2Vf.jpg,10000000,225900000,en,"Lawrence Bender Productions, Be Gentlemen Limited Partnership, Miramax","Matt Damon, Robin Williams, Ben Affleck, Stellan Skarsgård, Minnie Driver",Gus Van Sant
Casablanca,Casablanca,"In Casablanca, Morocco in December 1941, a cynical American expatriate meets a former lover, with unforeseen complications.",1943-01-15,"Drama, Romance",102,8.157,5582,They had a date with fate in Casablanca!,https://image.tmdb.org/t/p/w500/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg,https://image.tmdb.org/t/p/w500/rrsG3xYrWifoduZtsIZ4ntoDfBY.jpg,878000,10462500,en,Warner Bros. Pictures,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt",Michael Curtiz
Steven Universe: The Movie,Steven Universe: The Movie,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",2019-10-07,"TV Movie, Adventure, Animation, Comedy, Fantasy, Music, Science Fiction, Action, Drama",82,8.155,796,The true kinda love.,https://image.tmdb.org/t/p/w500/8mRgpubxHqnqvENK4Bei30xMDvy.jpg,https://image.tmdb.org/t/p/w500/re3ZvlKJg04iLpLRf1xTKHS2wLU.jpg,0,0,en,Cartoon Network Studios,"Zach Callison, Deedee Magno, Estelle, Michaela Dietz, Sarah Stiles",Rebecca Sugar
Capernaum,کفرناحوم,"After running away from his negligent parents, committing a violent crime and being sentenced to five years in jail, a hardened, streetwise 12-year-old Lebanese boy sues his parents in protest of the life they have given him.",2018-09-20,Drama,126,8.152,1762,It takes courage to hope.,https://image.tmdb.org/t/p/w500/mFnfTVADj8yOxwzprYOmTPselk8.jpg,https://image.tmdb.org/t/p/w500/sEW8q9al73rtow257dXAusD9yS7.jpg,4000000,64978931,ar,"Boo Pictures, Mooz Films, Les Films des Tournelles, Open City Films, KNM, Synchronicity Films, Louverture Films, The Bridge Production","Zain Al Rafeea, Yordanos Shifera, Boluwatife Treasure Bankole, Kawsar Al Haddad, Fadi Kamel Yousef",Nadine Labaki
Dune: Part Two,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",2024-02-27,"Science Fiction, Adventure",167,8.148,6500,Long live the fighters.,https://image.tmdb.org/t/p/w500/6izwz7rsy95ARzTR3poZ8H6c5pp.jpg,https://image.tmdb.org/t/p/w500/xOMo8BRK7PfcJv9JCnx7s5hj0PX.jpg,190000000,714444358,en,Legendary Pictures,"Timothée Chalamet, Zendaya, Rebecca Ferguson, Javier Bardem, Josh Brolin",Denis Villeneuve
Piper,Piper,"A mother bird tries to teach her little one how to find food by herself. In the process, she encounters a traumatic experience that she must overcome in order to survive.",2016-06-16,"Family, Animation",6,8.148,1653,,https://image.tmdb.org/t/p/w500/rfEkkVzmrMYqGezNLl02mVyJCP2.jpg,https://image.tmdb.org/t/p/w500/4GWYk5VP9qu1rNSeNAwNaBy9mwS.jpg,0,0,en,"Pixar, Walt Disney Pictures",,Alan Barillaro
The Truman Show,The Truman Show,"Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman's friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.",1998-06-04,"Comedy, Drama",103,8.146,18761,On the air. Unaware.,https://image.tmdb.org/t/p/w500/vuza0WqY239yBXOadKlGwJsZJFE.jpg,https://image.tmdb.org/t/p/w500/aCHn2TXYJfzPXQKA6r9mKPbMlUB.jpg,60000000,264100000,en,"Paramount Pictures, Scott Rudin Productions","Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor",Peter Weir
Togo,Togo,"The untold true story set in the winter of 1925 that takes you across the treacherous terrain of the Alaskan tundra for an exhilarating and uplifting adventure that will test the strength, courage and determination of one man, Leonhard Seppala, and his lead sled dog, Togo.",2019-12-20,"Adventure, Family",113,8.143,2076,The untold true story.,https://image.tmdb.org/t/p/w500/wX0QD36a80hxulcizz7tyahYOF8.jpg,https://image.tmdb.org/t/p/w500/2Jr2OBzoLLOYqQWnyN4eicZv0sL.jpg,0,0,en,Walt Disney Pictures,"Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Richard Dormer, Adrien Dorval",Ericson Core
Singin' in the Rain,Singin' in the Rain,"In 1927 Hollywood, a silent film production company and cast make a difficult transition to sound.",1952-04-09,"Comedy, Romance",103,8.143,3213,What a Glorious Feeling!,https://image.tmdb.org/t/p/w500/w03EiJVHP8Un77boQeE7hg9DVdU.jpg,https://image.tmdb.org/t/p/w500/6qOyw4yfzbzTp5YsCX26C28Do0S.jpg,2540800,7200000,en,Metro-Goldwyn-Mayer,"Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Millard Mitchell","Stanley Donen, Gene Kelly"
Scenes from a Marriage,Scener ur ett äktenskap,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection.",1974-09-15,"Drama, Romance",169,8.142,362,,https://image.tmdb.org/t/p/w500/ArKEdvJesIktFX8OAhcdKAOLl6I.jpg,https://image.tmdb.org/t/p/w500/prQE97Ds6ElKtTuemJRCvGJFlZz.jpg,150000,0,sv,Cinematograph AB,"Liv Ullmann, Erland Josephson, Bibi Andersson, Jan Malmsjö, Gunnel Lindblom",Ingmar Bergman
